run_id,itr,counts(idx=0),counts(idx=1),counts(idx=2),counts(idx=3),counts(idx=4),counts(idx=5),counts(idx=6),counts(idx=7),counts(idx=8),counts(idx=9),counts(idx=10),counts(idx=11),counts(idx=12),counts(idx=13),counts(idx=14),counts(idx=15),counts(idx=16),counts(idx=17),counts(idx=18),counts(idx=19)
9297e856-2aa2-4dae-931d-45fb2c0270e7,9,80,3,0,0,1,1,0,0,2,1,1,1,3,1,0,2,1,1,1,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,10,67,4,3,3,4,1,1,1,1,0,1,1,0,0,1,0,3,3,2,4
9297e856-2aa2-4dae-931d-45fb2c0270e7,10,65,3,0,0,4,1,1,0,3,0,1,3,4,2,1,3,1,2,3,3
35e85ba1-0b04-43e8-b95d-cd57e275ef26,11,52,6,3,4,3,3,4,2,1,0,1,1,1,1,2,0,3,3,4,6
9297e856-2aa2-4dae-931d-45fb2c0270e7,11,52,4,0,1,6,5,2,0,3,0,1,3,3,1,2,1,3,5,3,5
35e85ba1-0b04-43e8-b95d-cd57e275ef26,12,41,5,4,5,3,3,5,4,0,3,4,3,1,1,3,3,2,3,2,5
9297e856-2aa2-4dae-931d-45fb2c0270e7,12,81,0,0,2,2,1,2,0,2,1,0,0,3,1,2,0,1,0,1,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,13,78,0,0,1,2,0,2,2,3,2,0,1,3,1,1,0,2,0,1,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,14,82,1,1,1,2,1,0,1,0,1,2,1,3,0,0,1,0,0,1,2
9297e856-2aa2-4dae-931d-45fb2c0270e7,13,61,1,0,2,3,2,2,2,2,4,0,0,6,2,4,2,4,0,2,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,15,66,2,2,1,3,1,0,1,1,2,2,1,2,4,1,3,1,1,2,4
9297e856-2aa2-4dae-931d-45fb2c0270e7,14,53,2,0,5,1,1,2,1,3,5,1,1,6,5,3,3,4,2,0,2
35e85ba1-0b04-43e8-b95d-cd57e275ef26,16,59,3,1,1,4,1,0,0,3,2,1,2,2,4,1,4,1,3,4,4
9297e856-2aa2-4dae-931d-45fb2c0270e7,15,82,0,1,0,1,0,0,0,0,0,2,1,2,2,0,2,1,2,3,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,17,47,4,5,2,4,1,0,2,2,2,2,4,2,5,1,4,1,2,4,6
9297e856-2aa2-4dae-931d-45fb2c0270e7,16,61,1,2,0,7,1,2,0,2,0,2,1,0,3,2,3,1,6,4,2
